PFI,EZI_ADD,SRC_VERIF,PROPSTATUS,GCODEFEAT,LOC_DESC,BLGUNTTYP,HSAUNITID,BUNIT_PRE1,BUNIT_ID1,BUNIT_SUF1,BUNIT_PRE2,BUNIT_ID2,BUNIT_SUF2,FLOOR_TYPE,FLOOR_NO_1,FLOOR_NO_2,BUILDING,COMPLEX,HSE_PREF1,HSE_NUM1,HSE_SUF1,HSE_PREF2,HSE_NUM2,HSE_SUF2,DISP_NUM1,ROAD_NAME,ROAD_TYPE,RD_SUF,LOCALITY,STATE,POSTCODE,ACCESSTYPE,x,y
51566847,136 DAVID HILL ROAD MONBULK 3793,2009-12-09,A,V,,,,,,,,,,,,,,,,136.0,,,,,,DAVID HILL,ROAD,,MONBULK,VIC,3793,L,145.4240995570001,-37.88372808199995
51482414,23 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,23.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.5306915660001,-37.65694372299998
52043942,3 BAY ROAD JAM JERRUP 3984,2008-12-29,A,E,,,,,,,,,,,,,,,,3.0,,,,,,BAY,ROAD,,JAM JERRUP,VIC,3984,L,145.5434343280001,-38.32603993099997
52043968,243 BAY ROAD JAM JERRUP 3984,2007-11-21,A,E,,,,,,,,,,,,,,,,243.0,,,,,,BAY,ROAD,,JAM JERRUP,VIC,3984,L,145.51818453300007,-38.32436193899997
51482413,21 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,21.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.530464907,-37.65694079799994
51482722,15 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,15.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.52977244300007,-37.656940824999936
51482411,13 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,13.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.5295453020001,-37.65693787999993
51482723,17 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,17.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.5300119420001,-37.65693493099997
51482410,11 THOMAS ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,11.0,,,,,,THOMAS,ROAD,,HEALESVILLE,VIC,3777,L,145.529318546,-37.65693493599997
51482738,30 AUBURN ROAD HEALESVILLE 3777,2009-12-09,A,V,,,,,,,,,,,,,,,,30.0,,,,,,AUBURN,ROAD,,HEALESVILLE,VIC,3777,L,145.53137580100008,-37.65618611199994
